Sort type,Sample type,run time,run number,,,,,
Merge sort,ReverseSortedSmallSample,200640800,25,,,,,
Merge sort,ReverseSortedSmallSample,200063900,26,,,,,
Merge sort,ReverseSortedSmallSample,192398300,27,,,,,
Merge sort,ReverseSortedSmallSample,200375500,28,,,,,
Merge sort,ReverseSortedSmallSample,189349600,29,,,,,
Merge sort,ReverseSortedSmallSample,191768600,30,Average,216220896.7,SD,61099081.02,SD as percent
Quick sort,ReverseSortedSmallSample,35485400,1,Seconds:,0.216220897,,0.061099081,0.282577133
Quick sort,ReverseSortedSmallSample,34845100,2,,,,,
Quick sort,ReverseSortedSmallSample,35418000,3,,,,,
Quick sort,ReverseSortedSmallSample,35003900,4,,,,,
Quick sort,ReverseSortedSmallSample,34973500,5,,,,,
Quick sort,ReverseSortedSmallSample,35283100,6,,,,,
Quick sort,ReverseSortedSmallSample,35100100,7,,,,,
Quick sort,ReverseSortedSmallSample,35409100,8,,,,,
Quick sort,ReverseSortedSmallSample,35333400,9,,,,,
Quick sort,ReverseSortedSmallSample,34984000,10,,,,,
Quick sort,ReverseSortedSmallSample,35323000,11,,,,,
Quick sort,ReverseSortedSmallSample,35665900,12,,,,,
Quick sort,ReverseSortedSmallSample,35518000,13,,,,,
Quick sort,ReverseSortedSmallSample,35275800,14,,,,,
Quick sort,ReverseSortedSmallSample,35098300,15,,,,,
Quick sort,ReverseSortedSmallSample,35252800,16,,,,,
Quick sort,ReverseSortedSmallSample,35145900,17,,,,,
Quick sort,ReverseSortedSmallSample,35267500,18,,,,,
Quick sort,ReverseSortedSmallSample,35121400,19,,,,,
Quick sort,ReverseSortedSmallSample,35029400,20,,,,,
Quick sort,ReverseSortedSmallSample,34897400,21,,,,,
Quick sort,ReverseSortedSmallSample,35123300,22,,,,,
Quick sort,ReverseSortedSmallSample,35142200,23,,,,,
Quick sort,ReverseSortedSmallSample,35388800,24,,,,,
Quick sort,ReverseSortedSmallSample,35123500,25,,,,,
Quick sort,ReverseSortedSmallSample,35339700,26,,,,,
Quick sort,ReverseSortedSmallSample,35102100,27,,,,,
Quick sort,ReverseSortedSmallSample,34715100,28,,,,,
Quick sort,ReverseSortedSmallSample,35230600,29,,,,,
Quick sort,ReverseSortedSmallSample,35142500,30,Average,216220896.7,SD,61099081.02,SD as percent
Heap sort,ReverseSortedSmallSample,109096100,1,Seconds:,0.216220897,,0.061099081,0.282577133
Heap sort,ReverseSortedSmallSample,108726500,2,,,,,
Heap sort,ReverseSortedSmallSample,106980000,3,,,,,
Heap sort,ReverseSortedSmallSample,109323300,4,,,,,
Heap sort,ReverseSortedSmallSample,106899400,5,,,,,
Heap sort,ReverseSortedSmallSample,104118000,6,,,,,
Heap sort,ReverseSortedSmallSample,109750100,7,,,,,
Heap sort,ReverseSortedSmallSample,110417000,8,,,,,
Heap sort,ReverseSortedSmallSample,105220200,9,,,,,
Heap sort,ReverseSortedSmallSample,108601400,10,,,,,
Heap sort,ReverseSortedSmallSample,108102400,11,,,,,
Heap sort,ReverseSortedSmallSample,107155400,12,,,,,
Heap sort,ReverseSortedSmallSample,107815800,13,,,,,
Heap sort,ReverseSortedSmallSample,108101400,14,,,,,
Heap sort,ReverseSortedSmallSample,107884400,15,,,,,
Heap sort,ReverseSortedSmallSample,107831500,16,,,,,
Heap sort,ReverseSortedSmallSample,108305800,17,,,,,
Heap sort,ReverseSortedSmallSample,105751900,18,,,,,
Heap sort,ReverseSortedSmallSample,52672500,19,,,,,
Heap sort,ReverseSortedSmallSample,114364900,20,,,,,
Heap sort,ReverseSortedSmallSample,112235400,21,,,,,
Heap sort,ReverseSortedSmallSample,113808700,22,,,,,
Heap sort,ReverseSortedSmallSample,111584800,23,,,,,
Heap sort,ReverseSortedSmallSample,114532400,24,,,,,
Heap sort,ReverseSortedSmallSample,108362600,25,,,,,
Heap sort,ReverseSortedSmallSample,113146800,26,,,,,
Heap sort,ReverseSortedSmallSample,114087500,27,,,,,
Heap sort,ReverseSortedSmallSample,114729700,28,,,,,
Heap sort,ReverseSortedSmallSample,137051700,29,,,,,
Heap sort,ReverseSortedSmallSample,114128800,30,Average,216220896.7,SD,61099081.02,SD as percent
,,,,Seconds:,0.216220897,,0.061099081,0.282577133
