Sort type,Sample type,run time,run number,,,,,
Quick sort,MediumSample,6275800,16,,,,,
Quick sort,MediumSample,6275000,17,,,,,
Quick sort,MediumSample,6087300,18,,,,,
Quick sort,MediumSample,6301700,19,,,,,
Quick sort,MediumSample,6271000,20,,,,,
Quick sort,MediumSample,6158500,21,,,,,
Quick sort,MediumSample,6213100,22,,,,,
Quick sort,MediumSample,6299000,23,,,,,
Quick sort,MediumSample,6307600,24,,,,,
Quick sort,MediumSample,6289300,25,,,,,
Quick sort,MediumSample,6226600,26,,,,,
Quick sort,MediumSample,6149100,27,,,,,
Quick sort,MediumSample,6149500,28,,,,,
Quick sort,MediumSample,6127500,29,,,,,
Quick sort,MediumSample,6259500,30,Average,6230470,SD,111665.2854,SD as percent
Heap sort,MediumSample,7446638000,1,Seconds:,0.00623047,,0.000111665,0.01792245
Heap sort,MediumSample,28192220700,2,,,,,
Heap sort,MediumSample,24832565200,3,,,,,
Heap sort,MediumSample,27262149600,4,,,,,
Heap sort,MediumSample,5665623500,5,,,,,
Heap sort,MediumSample,26240477700,6,,,,,
Heap sort,MediumSample,25660900600,7,,,,,
Heap sort,MediumSample,26430848500,8,,,,,
Heap sort,MediumSample,28549144200,9,,,,,
Heap sort,MediumSample,23060284300,10,,,,,
Heap sort,MediumSample,26734577000,11,,,,,
Heap sort,MediumSample,25655185500,12,,,,,
Heap sort,MediumSample,30352389700,13,,,,,
Heap sort,MediumSample,17762491300,14,,,,,
Heap sort,MediumSample,27426632200,15,,,,,
Heap sort,MediumSample,24973256700,16,,,,,
Heap sort,MediumSample,31750605400,17,,,,,
Heap sort,MediumSample,13273486000,18,,,,,
Heap sort,MediumSample,27641094900,19,,,,,
Heap sort,MediumSample,25655865200,20,,,,,
Heap sort,MediumSample,30867586600,21,,,,,
Heap sort,MediumSample,9371701400,22,,,,,
Heap sort,MediumSample,28095264400,23,,,,,
Heap sort,MediumSample,26419180200,24,,,,,
Heap sort,MediumSample,28526323100,25,,,,,
Heap sort,MediumSample,7608476600,26,,,,,
Heap sort,MediumSample,28021073200,27,,,,,
Heap sort,MediumSample,24750602200,28,,,,,
Heap sort,MediumSample,28546278100,29,,,,,
Heap sort,MediumSample,6140524300,30,Average,23097114877,SD,8035445671,SD as percent
Merge sort,LargeSample,59598606000,1,Seconds:,23.09711488,,8.035445671,0.347898242
Merge sort,LargeSample,59701424900,2,,,,,
Merge sort,LargeSample,62521383900,3,,,,,
Merge sort,LargeSample,60740202900,4,,,,,
Merge sort,LargeSample,60416212600,5,,,,,
Merge sort,LargeSample,59587220700,6,,,,,
Merge sort,LargeSample,59114162000,7,,,,,
Merge sort,LargeSample,58912751800,8,,,,,
Merge sort,LargeSample,59148457100,9,,,,,
Merge sort,LargeSample,58605120900,10,,,,,
Merge sort,LargeSample,59047739500,11,,,,,
Merge sort,LargeSample,58814967300,12,,,,,
Merge sort,LargeSample,59174719800,13,,,,,
Merge sort,LargeSample,58416778500,14,,,,,
Merge sort,LargeSample,59869912900,15,,,,,
Merge sort,LargeSample,59282095500,16,,,,,
Merge sort,LargeSample,60551770900,17,,,,,
Merge sort,LargeSample,58823692300,18,,,,,
Merge sort,LargeSample,58536397800,19,,,,,
Merge sort,LargeSample,59000796300,20,,,,,
Merge sort,LargeSample,58204342200,21,,,,,
Merge sort,LargeSample,58486858000,22,,,,,
Merge sort,LargeSample,58376347400,23,,,,,
Merge sort,LargeSample,59023479500,24,,,,,
Merge sort,LargeSample,59548223800,25,,,,,
Merge sort,LargeSample,58620078300,26,,,,,
Merge sort,LargeSample,58246459400,27,,,,,
Merge sort,LargeSample,58432294500,28,,,,,
Merge sort,LargeSample,57837887900,29,,,,,
Merge sort,LargeSample,58898988000,30,Average,59184645753,SD,941095620.7,SD as percent
Quick sort,LargeSample,92380300,1,Seconds:,59.18464575,,0.941095621,0.01590101
Quick sort,LargeSample,91574700,2,,,,,
Quick sort,LargeSample,92504200,3,,,,,
Quick sort,LargeSample,91744500,4,,,,,
Quick sort,LargeSample,90487900,5,,,,,
Quick sort,LargeSample,91910900,6,,,,,
Quick sort,LargeSample,90592500,7,,,,,
Quick sort,LargeSample,90114300,8,,,,,
Quick sort,LargeSample,91473400,9,,,,,
Quick sort,LargeSample,92759800,10,,,,,
Quick sort,LargeSample,91660000,11,,,,,
Quick sort,LargeSample,91742400,12,,,,,
Quick sort,LargeSample,91104000,13,,,,,
Quick sort,LargeSample,91818400,14,,,,,
Quick sort,LargeSample,91661100,15,,,,,
Quick sort,LargeSample,91465200,16,,,,,
Quick sort,LargeSample,91608300,17,,,,,
Quick sort,LargeSample,90693500,18,,,,,
Quick sort,LargeSample,91788100,19,,,,,
Quick sort,LargeSample,92415100,20,,,,,
Quick sort,LargeSample,93236400,21,,,,,
Quick sort,LargeSample,95384100,22,,,,,
Quick sort,LargeSample,91947600,23,,,,,
Quick sort,LargeSample,90672800,24,,,,,
Quick sort,LargeSample,92081400,25,,,,,
Quick sort,LargeSample,91682000,26,,,,,
Quick sort,LargeSample,91891100,27,,,,,
Quick sort,LargeSample,92039800,28,,,,,
Quick sort,LargeSample,91026700,29,,,,,
Quick sort,LargeSample,92011100,30,Average,91782386.67,SD,968826.1428,SD as percent
Heap sort,LargeSample,2.11147E+12,1,Seconds:,0.091782387,,0.000968826,0.010555687
Heap sort,LargeSample,2.28983E+12,2,,,,,
Heap sort,LargeSample,1.72437E+12,3,,,,,
Heap sort,LargeSample,1.63719E+12,4,,,,,
Heap sort,LargeSample,1.7866E+12,5,,,,,
Heap sort,LargeSample,2.40838E+12,6,,,,,
Heap sort,LargeSample,1.83296E+12,7,,,,,
Heap sort,LargeSample,1.95969E+12,8,,,,,
Heap sort,LargeSample,1.85823E+12,9,,,,,
Heap sort,LargeSample,1.84272E+12,10,,,,,
Heap sort,LargeSample,2.00806E+12,11,,,,,
Heap sort,LargeSample,2.40015E+12,12,,,,,
Heap sort,LargeSample,1.70557E+12,13,,,,,
Heap sort,LargeSample,1.77576E+12,14,,,,,
Heap sort,LargeSample,1.57128E+12,15,,,,,
Heap sort,LargeSample,2.32438E+12,16,,,,,
Heap sort,LargeSample,2.5014E+12,17,,,,,
Heap sort,LargeSample,2.69985E+12,18,,,,,
Heap sort,LargeSample,2.65072E+12,19,,,,,
Heap sort,LargeSample,1.70732E+12,20,,,,,
Heap sort,LargeSample,2.10082E+12,21,,,,,
Heap sort,LargeSample,1.64425E+12,22,,,,,
Heap sort,LargeSample,1.93892E+12,23,,,,,
Heap sort,LargeSample,2.62232E+12,24,,,,,
Heap sort,LargeSample,3.68149E+12,25,,,,,
Heap sort,LargeSample,2.53591E+12,26,,,,,
Heap sort,LargeSample,3.0629E+12,27,,,,,
Heap sort,LargeSample,1.76782E+12,28,,,,,
Heap sort,LargeSample,1.90315E+12,29,,,,,
Heap sort,LargeSample,4.26525E+12,30,Average,2.21063E+12,SD,6.17644E+11,SD as percent
,,,,Seconds:,2210.625182,,617.6438742,0.279397828
